name,cylinders,weight,year,territory,accelaration,mpg,horse_power,displacement
Saab 900S,4,2800,1970,USA,15.4,NULL,110.0,121.0
Volvo Diesel,6,3160,1970,USA,19.6,30.7,76.0,145.0
Toyota Cressida,6,2900,1970,USA,12.6,25.4,116.0,168.0
Datsun 810 Maxima,6,2930,1970,USA,13.8,24.2,120.0,146.0
Buick Century,6,3415,1970,USA,15.8,22.4,110.0,231.0
Oldsmobile Cutlass Ls,8,3725,1970,USA,19.0,26.6,105.0,350.0
Ford Granada Gl,6,3060,1970,USA,17.1,20.2,88.0,200.0
Chrysler Lebaron Salon,6,3465,1970,USA,16.6,17.6,85.0,225.0
Chevrolet Cavalier,4,2605,1970,USA,19.6,28.0,88.0,112.0
Chevrolet Cavalier Wagon,4,2640,1970,USA,18.6,27.0,88.0,112.0
Chevrolet Cavalier 2-Door,4,2395,1970,USA,18.0,34.0,88.0,112.0
Pontiac J2000 Se Hatchback,4,2575,1970,USA,16.2,31.0,85.0,112.0
Dodge Aries Se,4,2525,1970,USA,16.0,29.0,84.0,135.0
Pontiac Phoenix,4,2735,1970,USA,18.0,27.0,90.0,151.0
Ford Fairmont Futura,4,2865,1970,USA,16.4,24.0,92.0,140.0
Amc Concord Dl,4,3035,1970,USA,20.5,23.0,NULL,151.0
Volkswagen Rabbit L,4,1980,1970,USA,15.3,36.0,74.0,105.0
Mazda Glc Custom L,4,2025,1970,USA,18.2,37.0,68.0,91.0
Mazda Glc Custom,4,1970,1970,USA,17.6,31.0,68.0,91.0
Plymouth Horizon Miser,4,2125,1970,USA,14.7,38.0,63.0,105.0
Mercury Lynx L,4,2125,1970,USA,17.3,36.0,70.0,98.0
Nissan Stanza Xe,4,2160,1970,USA,14.5,36.0,88.0,120.0
Honda Accord,4,2205,1970,USA,14.5,36.0,75.0,107.0
Toyota Corolla,4,2245,1970,USA,16.9,34.0,70.0,108.0
Honda Civic,4,1965,1970,USA,15.0,38.0,67.0,91.0
Honda Civic (Auto),4,1965,1970,USA,15.7,32.0,67.0,91.0
Datsun 310 Gx,4,1995,1970,USA,16.2,38.0,67.0,91.0
Buick Century Limited,6,2945,1970,USA,16.4,25.0,110.0,181.0
Oldsmobile Cutlass Ciera (Diesel),6,3015,1970,USA,17.0,38.0,85.0,262.0
Chrysler Lebaron Medallion,4,2585,1970,USA,14.5,26.0,92.0,156.0
Ford Granada L,6,2835,1970,USA,14.7,22.0,112.0,232.0
Toyota Celica Gt,4,2665,1970,USA,13.9,32.0,96.0,144.0
Dodge Charger 2.2,4,2370,1970,USA,13.0,36.0,84.0,135.0
Chevrolet Camaro,4,2950,1970,USA,17.3,27.0,90.0,151.0
Ford Mustang Gl,4,2790,1970,USA,15.6,27.0,86.0,140.0
Vw Pickup,4,2130,1970,USA,24.6,44.0,52.0,97.0
Dodge Rampage,4,2295,1970,USA,11.6,32.0,84.0,135.0
Ford Ranger,4,2625,1970,USA,18.6,28.0,79.0,120.0
Chevy S-10,4,2720,1970,USA,19.4,31.0,82.0,119.0
